threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=1
0, 1.000000, 1, 1, 0.000001, 0.000000, 0.000034
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=2
0, 1.005800, 1, 2, 0.000001, 0.000000, 0.000053
1, 1.003820, 1, 2, 0.000001, 0.000000, 0.000045
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=3
0, 1.118440, 1, 3, 0.000001, 0.000000, 0.000145
1, 1.154480, 1, 3, 0.000001, 0.000000, 0.000058
2, 1.093790, 1, 3, 0.000001, 0.000000, 0.000061
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=4
0, 1.186590, 1, 4, 0.000002, 0.000000, 0.000178
1, 1.214760, 1, 4, 0.000002, 0.000000, 0.000090
2, 1.189920, 1, 4, 0.000002, 0.000000, 0.000103
3, 1.187890, 1, 4, 0.000002, 0.000000, 0.000095
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=5
0, 1.233990, 1, 4, 0.000002, 0.000000, 0.000063
1, 1.261190, 1, 5, 0.000002, 0.000000, 0.000080
2, 1.223600, 1, 5, 0.000002, 0.000000, 0.000059
3, 1.217060, 1, 5, 0.000002, 0.000000, 0.000334
4, 1.232870, 1, 5, 0.000002, 0.000000, 0.000079
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=6
0, 1.288040, 1, 5, 0.000003, 0.000000, 0.000096
1, 1.260410, 1, 6, 0.000003, 0.000000, 0.000126
2, 1.322320, 1, 6, 0.000003, 0.000000, 0.000181
3, 1.258690, 1, 5, 0.000003, 0.000000, 0.000101
4, 1.278640, 1, 6, 0.000003, 0.000000, 0.000129
