threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=1
0, 1.000000, 1, 1, 0.000001, 0.000000, 0.000039
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=2
0, 1.000100, 1, 3, 0.000001, 0.000000, 0.000039
1, 1.000030, 1, 4, 0.000001, 0.000000, 0.000059
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=3
0, 1.001340, 1, 2, 0.000001, 0.000000, 0.000065
1, 1.000710, 1, 2, 0.000001, 0.000000, 0.000071
2, 1.000640, 1, 2, 0.000001, 0.000000, 0.000072
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=4
0, 1.005210, 1, 3, 0.000002, 0.000000, 0.000108
1, 1.005630, 1, 3, 0.000002, 0.000000, 0.000154
2, 1.004710, 1, 4, 0.000002, 0.000000, 0.000106
3, 1.006780, 1, 6, 0.000002, 0.000000, 0.000101
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=5
0, 1.015850, 1, 5, 0.000003, 0.000000, 0.000125
1, 1.016450, 1, 6, 0.000003, 0.000000, 0.000108
2, 1.018260, 1, 7, 0.000003, 0.000000, 0.000091
3, 1.017150, 1, 10, 0.000003, 0.000000, 0.000136
4, 1.018990, 1, 6, 0.000003, 0.000000, 0.000083
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=6
0, 1.064310, 1, 28, 0.000004, 0.000000, 0.000129
1, 1.065900, 1, 27, 0.000004, 0.000000, 0.000104
2, 1.061360, 1, 25, 0.000004, 0.000000, 0.000161
3, 1.065370, 1, 27, 0.000004, 0.000000, 0.000153
4, 1.056430, 1, 13, 0.000004, 0.000000, 0.000139
5, 1.054710, 1, 26, 0.000004, 0.000000, 0.000162
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=7
0, 1.141020, 1, 8, 0.000006, 0.000000, 0.000164
1, 1.138710, 1, 5, 0.000006, 0.000000, 0.000175
2, 1.133910, 1, 8, 0.000006, 0.000000, 0.000242
3, 1.132420, 1, 6, 0.000006, 0.000000, 0.000185
4, 1.131000, 1, 5, 0.000006, 0.000000, 0.000192
5, 1.131430, 1, 6, 0.000006, 0.000000, 0.000158
6, 1.128780, 1, 7, 0.000006, 0.000000, 0.000143
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=8
0, 1.164850, 1, 54, 0.000007, 0.000000, 0.000470
1, 1.158790, 1, 55, 0.000007, 0.000001, 0.000411
2, 1.192350, 1, 55, 0.000007, 0.000000, 0.000166
3, 1.152040, 1, 56, 0.000007, 0.000000, 0.000389
4, 1.148320, 1, 52, 0.000007, 0.000000, 0.000369
5, 1.182710, 1, 54, 0.000007, 0.000000, 0.000523
6, 1.180670, 1, 9, 0.000007, 0.000000, 0.000388
7, 1.148950, 1, 51, 0.000007, 0.000000, 0.000343
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=9
0, 1.359360, 1, 11, 0.000009, 0.000001, 0.000324
1, 1.316230, 1, 10, 0.000009, 0.000000, 0.000184
2, 1.268630, 1, 10, 0.000010, 0.000000, 0.000294
3, 1.304890, 1, 10, 0.000009, 0.000000, 0.000419
4, 1.332420, 1, 12, 0.000009, 0.000000, 0.000421
5, 1.271380, 1, 11, 0.000010, 0.000000, 0.000275
6, 1.325190, 1, 9, 0.000009, 0.000000, 0.000401
7, 1.261070, 1, 9, 0.000010, 0.000000, 0.000192
